,整数位,小数位,LAMBDA
1823,-8,76925584472074 ,-8.769255845
1824,-8,76925584472074 ,-8.769255845
1825,-2,59194487417463 ,-2.591944874
1826,-8,76925584472074 ,-8.769255845
1827,-3,41386940764566 ,-3.413869408
1828,-5,75543417940319 ,-5.755434179
1829,-8,76925584472074 ,-8.769255845
1830,-5,7629840425767 ,-5.076298404
1831,-8,76925584472074 ,-8.769255845
1832,-5,36812228509623 ,-5.368122285
1833,-8,76925584472074 ,-8.769255845
1834,-4,84692486599022 ,-4.846924866
1835,-3,67009161808035 ,-3.670091618
1836,-6,41240418622659 ,-6.412404186
1837,0,635364041433515 ,-6.353640414
1838,-8,76925584472074 ,-8.769255845
1839,-8,76925583211362 ,-8.769255832
1840,-6,41100841511967 ,-6.411008415
1841,-4,38755799574015 ,-4.387557996
1842,-6,41145876494045 ,-6.411458765
1843,-3,8927154651733 ,-3.089271547
1844,-5,75798078597362 ,-5.757980786
1845,0,548860395588749 ,-5.488603956
1846,-6,41240418622659 ,-6.412404186
1847,-8,76925584472064 ,-8.769255845
1848,-3,58934939603423 ,-3.589349396
1849,-5,37507599658366 ,-5.375075997
1850,-4,87090214663246 ,-4.870902147
1851,-6,41240418622662 ,-6.412404186
1852,-3,526691999632 ,-3.00526692
1853,-6,41550004417744 ,-6.415500044
1854,-8,76925584472074 ,-8.769255845
1855,-5,76023221410518 ,-5.760232214
1856,-8,76925584469138 ,-8.769255845
1857,-3,89522063334782 ,-3.895220633
1858,-6,41022078283611 ,-6.410220783
1859,-4,86845526898322 ,-4.868455269
1860,-6,410884116056 ,-6.004108841
1861,-8,76925584472064 ,-8.769255845
1862,-2,78578247347461 ,-2.785782473
1863,-8,76925584472074 ,-8.769255845
1864,-8,76925584472074 ,-8.769255845
1865,-6,41401582486746 ,-6.414015825
1866,-6,41277639517722 ,-6.412776395
1867,-8,76925584472074 ,-8.769255845
1868,0,123994772756167 ,-1.239947728
1869,-6,41210630175738 ,-6.412106302
1870,-5,76223719952672 ,-5.7622372
1871,-8,76925584472074 ,-8.769255845
1872,-6,41164509060779 ,-6.411645091
1873,-5,75947571318302 ,-5.759475713
1874,-6,41550007624983 ,-6.415500076
1875,-6,41145876494045 ,-6.411458765
1876,-5,37700463307661 ,-5.377004633
1877,-5,76073445034285 ,-5.76073445
1878,-8,76925584472074 ,-8.769255845
1879,-8,76925584472074 ,-8.769255845
1880,-8,76925584472074 ,-8.769255845
1881,-8,76925584472074 ,-8.769255845
1882,-8,76925584472074 ,-8.769255845
1883,-6,41401582486746 ,-6.414015825
